City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
290,Belaya,UA,49.029,25.7706,68.68,73,89,7.25,overcast clouds
291,Roma,US,43.2128,-75.4557,80.69,45,0,10.36,clear sky
292,Ust-Maya,RU,60.4167,134.5333,74.64,70,1,3.0,clear sky
293,Cabedelo,BR,-6.9811,-34.8339,74.07,86,33,17.83,light rain
294,Fairbanks,US,64.8378,-147.7164,78.6,56,0,0.0,haze
295,Dingle,PH,10.9995,122.6711,77.02,90,100,2.01,overcast clouds
296,Nantucket,US,41.2835,-70.0995,77.05,57,0,10.36,clear sky
297,Sitka,US,57.0531,-135.33,62.49,77,0,4.61,clear sky
298,Neiafu,TO,-18.65,-173.9833,77.68,78,75,11.5,broken clouds
299,Esperance,AU,-33.8667,121.9,50.31,54,0,17.83,clear sky
300,Ola,RU,59.5833,151.2833,64.15,77,99,3.89,overcast clouds
301,Hay River,CA,60.8156,-115.7999,66.18,48,40,14.97,scattered clouds
302,Iqaluit,CA,63.7506,-68.5145,53.33,54,100,10.36,overcast clouds
303,Ust-Barguzin,RU,53.45,108.9833,50.32,97,98,4.5,overcast clouds
304,Bengkulu,ID,-3.8004,102.2655,75.34,91,69,4.29,broken clouds
305,Sioux Lookout,CA,50.1001,-91.917,75.27,57,100,6.91,overcast clouds
306,San Patricio,US,28.017,-97.5169,97.16,45,2,17.92,clear sky
307,Bridgetown,BB,13.1,-59.6167,84.69,65,40,17.27,scattered clouds
308,Tabas,IR,33.5959,56.9244,89.82,20,0,11.5,clear sky
309,Grand-Lahou,CI,5.1367,-5.0242,76.96,81,88,9.89,overcast clouds
310,Reyes,BO,-14.3167,-67.3833,89.19,42,72,2.55,broken clouds
311,Sebinkarahisar,TR,40.2883,38.4236,49.62,76,9,4.83,clear sky
312,Barcelos,PT,41.5388,-8.6151,71.85,92,48,2.33,scattered clouds
313,Tromso,NO,69.6496,18.957,61.38,72,0,6.91,clear sky
314,Tyret Pervaya,RU,53.6703,102.3106,54.63,93,100,7.27,overcast clouds
315,Isangel,VU,-19.55,169.2667,78.91,78,20,11.5,few clouds
316,Papetoai,PF,-17.4961,-149.8729,81.99,79,54,17.34,light rain
317,Oranjemund,NA,-28.55,16.4333,54.54,85,0,5.03,clear sky
318,Pontes E Lacerda,BR,-15.2261,-59.3353,89.91,30,61,4.27,broken clouds
319,Ixtapa,MX,20.7,-105.2,85.23,79,40,10.36,scattered clouds
320,Druzhba,UA,52.0428,33.9453,64.56,86,69,3.91,broken clouds
321,Durban,ZA,-29.8579,31.0292,65.01,93,52,1.01,broken clouds
322,Alofi,NU,-19.0595,-169.9187,75.09,83,75,13.8,broken clouds
323,Mogadishu,SO,2.0371,45.3438,76.59,82,80,19.3,broken clouds
324,Saint-Augustin,CA,51.226,-58.6502,58.19,53,100,18.66,overcast clouds
325,Eseka,CM,3.65,10.7667,70.66,99,94,1.88,overcast clouds
326,Richards Bay,ZA,-28.783,32.0377,62.78,92,0,4.97,clear sky
327,Alexandria,EG,31.2156,29.9553,77.63,75,0,9.15,clear sky
328,Haines Junction,CA,60.7522,-137.5108,80.55,29,7,3.44,clear sky
329,Bitung,ID,1.4451,125.1824,77.85,90,100,8.34,heavy intensity rain
330,Clyde River,CA,70.4692,-68.5914,39.43,87,75,21.85,broken clouds
331,Nizhniy Kuranakh,RU,58.8353,125.4869,71.46,87,26,1.81,scattered clouds
332,Deniliquin,AU,-35.5333,144.9667,36.54,92,0,6.31,clear sky
333,Sulangan,PH,11.1373,123.7228,82.24,72,100,1.77,overcast clouds
334,Kieta,PG,-6.2167,155.6333,79.97,83,46,4.23,light rain
335,Roald,NO,62.5833,6.1333,58.15,76,75,11.5,broken clouds
336,Souillac,MU,-20.5167,57.5167,70.18,73,40,12.66,light rain
337,Mayumba,GA,-3.432,10.6554,70.34,89,0,8.21,clear sky
338,Chornobay,UA,49.6708,32.3239,69.22,52,2,3.67,clear sky
339,Eskisehir,TR,39.7767,30.5206,62.51,59,0,9.22,clear sky
340,Zhigansk,RU,66.7697,123.3711,57.63,62,24,18.37,few clouds
341,Hualmay,PE,-11.0964,-77.6139,65.17,75,41,10.54,scattered clouds
342,Rotifunk,SL,8.2333,-12.6833,73.4,94,99,2.77,overcast clouds
343,Avera,US,33.194,-82.5271,92.37,39,84,3.2,broken clouds
344,Sibolga,ID,1.7427,98.7792,75.61,89,99,3.76,overcast clouds
345,Husavik,IS,66.0449,-17.3389,42.44,92,100,12.75,overcast clouds
346,Oksfjord,NO,70.2396,22.3479,59.18,71,79,8.48,broken clouds
347,Buritis,BR,-15.6178,-46.4233,72.16,35,0,4.36,clear sky
348,La Ronge,CA,55.1001,-105.2842,68.25,34,40,10.36,scattered clouds
