City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
507,Jardim De Piranhas,BR,81.84,overcast clouds,-6.3786,-37.3519,Jardim de piranhas
508,Portland,US,76.6,scattered clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
512,Aquiraz,BR,80.69,scattered clouds,-3.9014,-38.3911,Pousada Rua Camurupim
514,Maceio,BR,76.44,overcast clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
526,Southbridge,US,84.38,broken clouds,42.0751,-72.0334,Southbridge Hotel & Conference Center
531,Murud,IN,79.65,overcast clouds,18.3258,72.965,On Point Plaza
539,Sakakah,SA,83.77,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
540,Port-Gentil,GA,75.16,scattered clouds,-0.7193,8.7815,Fengshui Residence
541,Nanfeng,CN,75.63,overcast clouds,23.7434,111.7959,Nanfeng Hotel
556,Jucas,BR,80.24,overcast clouds,-6.5253,-39.5275,Hotel Casa Bella
557,Basco,PH,84.38,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
560,Poso,ID,77.25,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
562,Baculin,PH,77.54,overcast clouds,7.4525,126.5842,Baculin Cove Beach Resort
567,Carutapera,BR,77.99,few clouds,-1.195,-46.02,Lidera
575,Tezu,IN,77.41,broken clouds,27.9167,96.1667,Circuit House
576,Hailey,US,79.88,scattered clouds,43.5196,-114.3153,Wood River Inn & Suites
579,Loreto,MX,82.29,few clouds,22.2667,-101.9667,José de Jesús Velásquez mora
593,Luwuk,ID,76.21,light rain,-0.9516,122.7875,Hotel Santika Luwuk
594,Wanning,CN,80.71,overcast clouds,18.8003,110.3967,Paradise Hotel
608,Kavaratti,IN,82.04,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
609,Thanh Hoa,VN,81.41,overcast clouds,19.8,105.7667,KHÁCH SẠN NGỌC LY 8
625,Kinablangan,PH,78.21,overcast clouds,7.6947,126.5503,Morales Eatery and Lodging House
631,Nagato,JP,77.81,overcast clouds,34.3833,131.2,いそう庵
633,Makakilo City,US,84.52,broken clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
638,Jitra,MY,75.09,few clouds,6.2681,100.4217,Hotel Darulaman
